速度点,速度指令 / pu,eSMO均速 / pu,QEP均速 / pu,速度误差RMS / pu,速度误差峰值 / pu,角度误差均值 / 电角度,去均值RMS / 电角度,iqRef峰值 / pu,iqFbk峰值 / pu,eqMag均值 / pu,thetaErr_RMS / pu,电压利用率均值,电压利用率最大值
0.2 pu,0.199981689453125,0.19980716705322266,0.19978713989257812,0.003626714345645091,0.0084075927734375,-2.7884674072265625,0.689768508394092,0.053131103515625,0.0550689697265625,0.15345112482706708,0.04252154059497477,0.389906479609783,0.48974823853877936
0.3 pu,0.299957275390625,0.3001124064127604,0.3000117937723796,0.0029958420470910375,0.0067596435546875,-2.4546432495117188,0.5986970704726845,0.0617828369140625,0.0657196044921875,0.2180037498474121,0.057127271295522024,0.5567245443228293,0.6430367850704616
0.4 pu,0.39996337890625,0.3999479611714681,0.39997355143229163,0.002461568046208953,0.005340576171875,-1.538543701171875,0.466408868079628,0.068756103515625,0.071502685546875,0.27744245529174805,0.07619334110403644,0.7219732060758305,0.7587046685178619
0.5 pu,0.499969482421875,0.5001312891642253,0.49958324432373047,0.012294379902710869,0.018951416015625,1.5226936340332031,0.508599553604029,0.081390380859375,0.0788421630859375,0.3034928639729818,0.09659350959142399,0.8846474313991041,0.9335121383010389
