速度点,实验,文件名,稳态段,速度指令 / pu,eSMO均速 / pu,QEP均速 / pu,速度误差RMS / pu,速度误差峰值 / pu,角度误差均值 / 电角度,去均值RMS / 电角度,iqRef峰值 / pu,iqFbk峰值 / pu,eqMag均值 / pu,thetaErr_RMS / pu,电压利用率均值,电压利用率最大值
0.2 pu,Exp1,0.2pu_0613_1635_01.bin,0–95,0.199981689453125,0.19994068145751953,0.20000807444254556,0.003525969069516305,0.00823974609375,-2.8707504272460938,0.6609684892342944,0.05291748046875,0.056182861328125,0.1534264882405599,0.042549562739908724,0.39048830216774094,0.5119005522176259
0.2 pu,Exp2,0.2pu_0613_1635_02.bin,0–95,0.199981689453125,0.19967365264892578,0.1995662053426107,0.003727459621773877,0.008575439453125,-2.7061843872070312,0.7185685275538896,0.0533447265625,0.053955078125,0.15347576141357422,0.04249351845004081,0.38932465705182495,0.46759592485993284
0.3 pu,Exp1,0.3pu_0613_1635_01.bin,0–95,0.299957275390625,0.30046876271565753,0.3003479639689128,0.0030402602729901673,0.006561279296875,-2.4854278564453125,0.5833722974819938,0.062042236328125,0.066558837890625,0.2182598114013672,0.05719799414563647,0.5580349816172931,0.7006418493851747
0.3 pu,Exp2,0.3pu_0613_1635_02.bin,0–95,0.299957275390625,0.2997560501098633,0.2996756235758464,0.0029514238211919078,0.0069580078125,-2.423858642578125,0.6140218434633752,0.0615234375,0.06488037109375,0.21774768829345703,0.05705654844540758,0.5554141070283652,0.5854317207557485
0.4 pu,Exp1,0.4pu_0613_1635_01.bin,0–95,0.39996337890625,0.39977868398030597,0.3998603820800781,0.0024374751390051296,0.00518798828125,-1.5081024169921875,0.45312077601494694,0.068939208984375,0.072174072265625,0.27743879954020184,0.07615627876502004,0.7219619955952895,0.7694932532612943
0.4 pu,Exp2,0.4pu_0613_1635_02.bin,0–95,0.39996337890625,0.4001172383626302,0.4000867207845052,0.002485660953412776,0.0054931640625,-1.5689849853515625,0.4796969601443091,0.068572998046875,0.070831298828125,0.27744611104329425,0.07623040344305285,0.7219844165563715,0.7479160837744295
0.5 pu,Exp1,0.5pu_0613_1635_01.bin,0–95,0.499969482421875,0.49981212615966797,0.49938297271728516,0.012012600607922906,0.01849365234375,1.5674972534179688,0.25606382358333685,0.081939697265625,0.08013916015625,0.3030039469401042,0.09679261895431471,0.8855724764597234,0.9279241807597342
0.5 pu,Exp2,0.5pu_0613_1635_02.bin,0–95,0.499969482421875,0.5004504521687826,0.4997835159301758,0.01257615919749883,0.0194091796875,1.4778900146484375,0.761135283624721,0.080841064453125,0.077545166015625,0.3039817810058594,0.09639440022853327,0.8837223863384848,0.9391000958423436
